,Time_hrs,mean_inner_CFP,mean_edge_CFP,mean_CFP
93,2.9166666666666665,1703.3872040696535,1188.7465298224952,1343.4899399929404
95,3.0,1716.2919652961148,1128.0284114648614,1308.6395274769818
97,3.083333333333333,1728.3666969972705,1065.611018780123,1273.372012094244
99,3.166666666666666,1734.0214500975005,1004.882826622843,1235.811520970187
101,3.25,1743.9539130434785,955.74942791762,1207.7329589680862
103,3.333333333333333,1740.0593808154288,913.3906186488904,1181.6993740390953
105,3.416666666666666,1738.5039748261013,877.0845582296882,1159.4542888165038
107,3.5,1736.8907590224953,852.0530248252591,1145.5896059271986
109,3.583333333333333,1730.9206022187007,826.0063948840927,1129.4074920297555
111,3.666666666666666,1728.2630350194552,804.2993407989833,1116.4820677324358
113,3.75,1731.3918298653614,782.43772691397,1105.376601062168
115,3.833333333333333,1726.114079855899,762.4385168961203,1092.5838732901368
117,3.916666666666666,1710.3870068925062,737.6439069912124,1074.7277162313244
119,4.0,1698.8089126045572,719.0513436072175,1061.351891973598
121,4.083333333333333,1685.8465714285715,699.1325477510782,1044.7589571657331
123,4.166666666666666,1678.1064310954066,684.1793145654834,1033.2156152280736
125,4.25,1662.211420612813,670.8434570535783,1021.4676616915424
127,4.333333333333333,1644.444459719549,658.5369543838415,1008.4852876592007
129,4.416666666666666,1628.6632860040568,645.2014712505629,996.2513394796543
131,4.5,1625.4524678837051,640.2081519291398,991.8942897137616
133,4.583333333333333,1620.6743683286045,633.2550108850687,985.9183959077308
135,4.666666666666666,1616.001215395003,627.5894144144144,980.7469240048252
137,4.75,1613.4784953485237,624.0127551020408,977.778356230417
139,4.833333333333333,1606.1508545283273,619.0513166779202,972.3815992292873
141,4.916666666666666,1597.5940687063876,615.4409756097563,967.7057323001396
143,5.0,1596.1140984483682,614.4970369814718,967.1941654250974
145,5.083333333333333,1579.7771124417832,609.122430607652,959.0610218277764
147,5.166666666666666,1577.2190602250164,610.3771265832272,959.9077423676907
149,5.249999999999999,1565.8039447731753,605.7392541560581,954.09995705902
151,5.333333333333333,1561.648167539267,607.4689020282913,954.5918765773058
153,5.416666666666666,1557.8462540716614,605.0290784372204,951.8243467539244
155,5.499999999999999,1552.6645610416401,606.3522017256769,952.5879911324936
157,5.583333333333333,1539.7178539569265,603.3457936979786,948.2601980941652
159,5.666666666666666,1537.2201799974646,603.7116227255849,948.5860728669103
161,5.749999999999999,1533.1806443525134,604.3962250185048,949.2053334574392
163,5.833333333333333,1534.4196884735202,607.5705643673921,952.2398980537533
165,5.916666666666666,1530.4053020961774,607.7418476260583,952.6508412076516
167,5.999999999999999,1526.6801367354412,608.9975029377204,953.6913376438757
169,6.083333333333333,1523.363306744017,609.0628935422462,953.989102681014
171,6.166666666666666,1516.2047545096164,610.2841821100249,953.7847080672192
173,6.249999999999999,1515.4409058740268,610.5303911589356,955.6109661748833
175,6.333333333333333,1507.2007422010904,613.3952712503626,957.3015929677392
177,6.416666666666666,1506.987363584147,614.3713153153152,958.4910097431357
179,6.499999999999999,1507.6546917497733,619.2438621679828,963.7695350268083
181,6.583333333333333,1507.239798206278,619.1417536833071,965.0431840013972
183,6.666666666666666,1509.6808038192514,623.8114940891611,969.9881122825284
185,6.749999999999999,1508.8882301273609,622.4700183849526,969.7172043010753
187,6.833333333333333,1509.3289317025653,624.2840757159946,972.9804264392324
189,6.916666666666666,1520.9016182617083,625.8034439311214,979.4538256340772
191,6.999999999999999,1536.8269517124015,626.723359799415,986.8577861952863
193,7.083333333333333,1551.793504452593,625.7761121856868,993.7389783939052
195,7.166666666666666,1547.508351488744,623.0507156619873,991.7093210872532
197,7.249999999999999,1533.6348108987393,624.1754880395931,991.0325213254595
199,7.333333333333333,1522.0415995165188,626.8494358974359,988.8201849061213
201,7.416666666666666,1518.9077244674497,633.755053426802,993.197380654028
203,7.499999999999999,1516.0530399764264,635.8050280462256,994.5929618063897
205,7.583333333333333,1517.1357856934876,638.4113456109692,997.9482149239507
207,7.666666666666666,1518.9617151607965,639.5277684956226,1001.1162882216363
209,7.749999999999999,1513.1487876214733,639.0959676349647,999.8891225610467
211,7.833333333333333,1512.2919243020426,640.4725557461406,1000.7156627438836
213,7.916666666666666,1507.4044485634847,641.0670683783077,999.7968378233172
215,7.999999999999999,1504.2438016528931,643.3566078290887,1000.5970735053155
217,8.083333333333334,1500.326532462822,645.2502920181701,1001.9255616915046
219,8.166666666666666,1495.1107824684054,644.5965263429753,1000.7304184650028
221,8.25,1494.884352533949,646.7767570345625,1002.8915514478439
223,8.333333333333334,1492.838389167326,649.4922283093388,1003.7966827970893
225,8.416666666666666,1488.4084836918807,647.6161321054302,1003.009899901001
227,8.5,1488.2215059308921,650.835801063022,1005.8961294554996
229,8.583333333333334,1487.6486762577679,651.1465744814583,1006.4414433958854
231,8.666666666666666,1490.2427848101268,653.6120856482928,1009.3504969679573
233,8.75,1490.5857035615982,656.2667496111975,1012.689566704675
235,8.833333333333334,1494.3127629733522,657.8690969858267,1016.3998868378244
237,8.916666666666666,1496.8537005163514,662.1062661897126,1020.5350343128626
239,9.0,1525.8472470358938,685.6159789073517,1047.0947839150333
241,9.083333333333334,1527.5667841127483,732.1646308113036,1075.355802784784
243,9.166666666666666,1514.6261542104016,785.5720888888889,1098.2318080281595
245,9.25,1512.166457974644,847.4432572065988,1132.3660393814364
247,9.333333333333334,1514.9770599250933,912.6416896127482,1170.9495399029613
249,9.416666666666666,1510.622497468256,966.2115497247277,1199.8581458326366
251,9.5,1510.0644759383276,1013.494262295082,1226.6135285074527
253,9.583333333333334,1509.3459951739706,1046.2293057019085,1245.0217848909085
255,9.666666666666666,1505.8153044560233,1061.9669377962432,1252.545478829972
257,9.75,1501.9601769911505,1028.414495970097,1231.7279029462738
259,9.833333333333334,1523.2418124373892,918.1077847805788,1178.886328163916
261,9.916666666666666,1588.386356660528,820.2268946664341,1151.4313316790735
263,10.0,1623.3206363775432,757.5421434795238,1131.2483739971608
265,10.083333333333334,1633.9776119402984,731.2149234693878,1121.4413759052009
267,10.166666666666666,1626.1144090255166,722.8519161745978,1114.2231882156098
269,10.25,1618.1649554582516,721.6993411166341,1110.4181943171402
271,10.333333333333334,1616.3643253789585,720.1581194115952,1109.6706565343595
273,10.416666666666666,1615.0433938307565,711.8749423963134,1105.1404923737357
